Static Pressure,LPM Rota,periph_ch1,periph_ch1_lpm,temp_mcu,Static_Pa,SP_mV,DP_mV,Differential_Pa,Flow_lph,SB lpm,Accuracy,Error,ideal flow,cd
16.61,200,0,,27,16824,46.81,935.45,141.64,12075,201.25,1.00625,0.63%,201.2593461,0.08253032875
16.61,200,0,,27,16824,46.81,935.45,141.64,12075,201.25,1.00625,0.63%,201.2593461,0.08253032875
31.03,200,0,,27.5,31545,67.8,937.6,140.97,12047,200.7833333,1.003916667,0.39%,200.7827731,0.1545451311
31.03,200,0,,27.5,31515,67.76,937.79,140.64,12033,200.55,1.00275,0.28%,200.5476269,0.1547263385
31.03,200,0,,27.5,31533,67.78,937.01,140.97,12047,200.7833333,1.003916667,0.39%,200.7827731,0.1545451311
49.41,200,0,,27.5,50117,94.27,923.73,146.67,12288,204.8,1.024,2.40%,204.8017882,0.2412576591
49.41,200,0,,27.5,50099,94.25,923.73,146.67,12288,204.8,1.024,2.40%,204.8017882,0.2412576591
49.41,200,0,,27.5,50099,94.25,923.73,146.67,12288,204.8,1.024,2.40%,204.8017882,0.2412576591
3.23,5,0,,28.3,3357,27.61,1577.84,0.16,412,6.866666667,1.373333333,37.33%,6.764303569,0.4775066593
3.23,5,0,,28.3,3339,27.59,1577.84,0.16,412,6.866666667,1.373333333,37.33%,6.764303569,0.4775066593
3.23,5,0,,28.3,3339,27.59,1577.84,0.16,412,6.866666667,1.373333333,37.33%,6.764303569,0.4775066593
13.4,5,0,,28.3,13590,42.2,1575.49,0.2,454,7.566666667,1.513333333,51.33%,7.562721301,1.771848977
13.4,5,0,,28.3,13571,42.17,1575.49,0.2,454,7.566666667,1.513333333,51.33%,7.562721301,1.771848977
13.4,5,0,,28.3,13571,42.17,1575.49,0.2,454,7.566666667,1.513333333,51.33%,7.562721301,1.771848977
39.84,5,0,,27.9,40578,80.68,1570.8,0.28,539,8.983333333,1.796666667,79.67%,8.948332518,4.452226146
39.84,5,0,,27.9,40597,80.7,1570.8,0.28,539,8.983333333,1.796666667,79.67%,8.948332518,4.452226146
39.84,5,0,,27.9,40633,80.75,1570.8,0.28,539,8.983333333,1.796666667,79.67%,8.948332518,4.452226146
53,5,0,,27.9,51889,96.8,1568.46,0.33,582,9.7,1.94,94.00%,9.714491403,5.455766833
53,5,0,,27.9,51889,96.8,1568.46,0.33,582,9.7,1.94,94.00%,9.714491403,5.455766833
53,5,0,,27.9,51889,96.8,1568.46,0.33,582,9.7,1.94,94.00%,9.714491403,5.455766833
11.8,10,0,,27.9,12164,40.17,1558.3,0.57,766,12.76666667,1.276666667,27.67%,12.767343,0.9242330214
